id;car_type;brand;kw_power;usd_price;is_rented
1;San Marino model Games;compelling Maryland;35902;96409;false
2;Gorgeous Plastic Bike New Israeli Sheqel;maroon Profit-focused Haiti;18519;18261;false
3;Savings Account Park Papua New Guinea;Auto Loan Account Security Health;89537;90752;true
4;encoding;empowering Operations application;84688;95589;true
5;Grocery;yellow;47679;76608;true
6;Plastic New Mexico;Northern Mariana Islands salmon orchestrate;61595;37272;false
7;Integration;program;35617;81254;false
8;connecting Sleek Frozen Table;algorithm;67426;76210;false
9;Tennessee;bypassing functionalities Investment Account;93487;30772;false
10;FTP Granite Profound;Berkshire Ethiopian Birr Ohio;77386;33552;false
